country,incomeperperson,internetuserate,urbanrate,continent
Albania,1914.996551,44.98994696,46.72,Europe
Algeria,2231.993335,12.50007331,65.22,Africa
Andorra,21943.3399,81,88.92,Europe
Angola,1381.004268,9.999953883,56.7,Africa
Antigua and Barbuda,11894.46407,80.64545455,30.46,North America
Argentina,10749.41924,36.00033495,92,South America
Armenia,1326.741757,44.00102458,63.86,Asia
Australia,25249.98606,75.8956538,88.74,Australia
Austria,26692.98411,72.73157554,67.16,Europe
Azerbaijan,2344.896916,46.67970157,51.92,Asia
Bahamas,19630.54055,42.98458017,83.7,North America
Bahrain,12505.21254,54.99280903,88.52,Asia
Bangladesh,558.0628766,3.70000326,27.14,Asia
Barbados,9243.587053,70.02859927,39.84,North America
Belarus,2737.670379,32.05214391,73.46,Europe
Belgium,24496.04826,73.73393447,97.36,Europe
Belize,3545.652174,12.64573333,51.7,North America
Benin,377.0396995,3.129961803,41.2,Africa
Bermuda,62682.14701,84.65451409,100,North America
Bhutan,1324.194906,13.59887603,34.48,Asia
Bolivia,1232.794137,20.00171014,65.58,South America
Bosnia and Herzegovina,2183.344867,52.00206064,47.44,Europe
Botswana,4189.436587,5.999835575,59.58,Africa
Brazil,4699.411262,40.650098,85.58,South America
Brunei,17092.46,49.98997494,74.82,Asia
Bulgaria,2549.558474,45.98658991,71.1,Europe
Burkina Faso,276.200413,1.4000607,19.56,Africa
Burundi,115.3059959,2.100212706,10.4,Africa
Cambodia,557.9475126,1.259933609,21.56,Asia
Cameroon,713.6393027,3.999977346,56.76,Africa
Canada,25575.35262,81.33839269,80.4,North America
Cape Verde,1959.844472,29.99993952,59.62,Africa
Central African Republic,239.5187494,2.300026653,38.58,Africa
Chad,275.8842865,1.700031496,26.68,Africa
Chile,6334.105194,45,88.44,South America
China,2425.471293,34.37778952,43.1,Asia
Colombia,3233.42378,36.49987464,74.5,South America
Comoros,336.3687495,5.098265306,28.08,Africa
Democratic Republic of the Congo,103.7758572,0.720008677,33.96,Africa
Republic of the Congo,1253.292015,4.999875093,61.34,Africa
Costa Rica,5188.900935,36.49911472,63.26,North America
Ivory Coast,591.0679443,2.599973655,48.78,Africa
Croatia,6338.494668,60.11970702,57.28,Europe
Cuba,4495.046262,15.89997034,75.66,North America
Cyprus,15313.85935,53.02474483,69.9,Asia
Czech Republic,7381.312751,68.63813347,73.5,Europe
Denmark,30532.27704,88.77025387,86.68,Europe
Djibouti,895.3183396,6.49792351,87.3,Africa
Dominica,6147.77961,47.28043603,73.92,North America
Dominican Republic,4049.169629,39.53127426,69.02,North America
Ecuador,1728.020976,28.99947674,65.58,South America
Egypt,1975.551906,26.74002538,42.72,Africa
El Salvador,2557.433638,15.89998203,60.7,North America
Equatorial Guinea,8654.536845,6.003437143,39.38,Africa
Eritrea,131.796207,5.399666997,20.72,Africa
Estonia,6238.537506,74.1630403,69.46,Europe
Ethiopia,220.8912479,0.74999585,17,Africa
Fiji,2230.676374,14.83073588,52.36,Australia
Finland,27110.73159,86.89884451,63.3,Europe
France,22878.46657,77.49861935,77.36,Europe
Gabon,4180.765821,7.232224246,85.04,Africa
